stm_preyID,Prey_TaxonomicID,State_dvt,State_Digestion,Nb_Individuals,Weight_Tot,Comment,Predator_ID
694,Rubbish - Line/Rope,,0,1,9.59,25-Af-017-a,244
695,Octopoteuthis sp. Beak,,4,1,0.13,By RY: Not fresh. 1 LB (LRL- 8mm),245
696,Unidentified Fish,,4,0,0.03,remains,245
697,Rubbish - Plastic (white/clear),,0,1,26.94,,246
698,Ancistrocheirus lesueurii,,3,1,0.11,By RY,246
699,Phrosina semilunata,,3,1,0.45,,246
700,Platyscelus armatus,,2,1,0.34,,247
701,Heteropoda (Pterotracheoidea),,4,1,0.18,By RY: anterior part of a heteropod,247
702,Japetella diaphana,,3,1,0.52,By RY,248
703,Lactoria diaphana,,1,1,5.65,Re: BM,248
704,Rubbish (human product),,0,4,1.02,52-55-Af-038-a-c,249
705,Platyscelus armatus,,2,6,2.12,Range 12-17mm TL,249
706,Argyropelecus sp.,,3,1,8.66,No further ID possible,249
707,Sternoptychidae,,4,1,0.64,,249
708,Japetella diaphana,,3,1,0.48,By RY: ca 15mm,249
709,Alepisaurus ferox,,2,1,8.32,,250
710,Sternoptyx diaphana,,2,1,2.1,,250
711,Platyscelus armatus,,2,1,0.29,,250
712,Unidentified Fish,,4,3,0.22,BM,250
713,Rubbish - Line/Rope,,0,1,0.12,27-Af-041-a,250
714,Alciopidae,,3,4,0.24,Iris,250
716,Phrosina semilunata,,3,2,0.37,,251
717,Luzonichthys earlei,Juvenile,3,1,0.31,BM; Pelagic juvenile,251
718,Salpidae,,3,1,0.5,,251
719,Unidentified Fish,,4,0,0.32,,251
720,Rubbish - Line/Rope,,0,0,1.203,black line; 34-Af-048-a,251
721,Platyscelus ovoides,,1,4,1.51,TL Range 15-20mm,252
722,Cyphocaris sp.,,2,13,4.58,TL Range 15-19mm,252
723,Japetella diaphana,,3,1,0.77,By RY: 17mm ML,253
724,Sternoptyx sp.,Juvenile,3,3,0.36,AP SL 10-12mm,253
725,Thecosomata,,2,3,0.25,,253
726,Platyscelus armatus,,3,2,0.85,,253
727,Phrosina semilunata,,3,1,0.48,,253
728,Rubbish (human product),,0,5,2.25,56-61-Af-065-a-f,254
729,Alepisaurus ferox,,2,1,13.54,,254
730,Alepisaurus ferox,,3,1,10.41,,254
731,Fistularia sp.,Juvenile/Adult,2,1,0.96,,255
732,Phrosina semilunata,,3,2,0.57,,255
733,Megalopa stage,,2,1,0.41,,255
734,Tremoctopus violaceus,Adult,2,1,11.03,By RY: female 35 mm ML,256
735,Tremoctopus sp.,Adult,2,1,0.97,By RY: 1 mature male; 17 mm ML,256
736,Platyscelus armatus,,2,1,0.29,,256
737,Phrosina semilunata,,2,1,0.2,,256
738,Salpidae,,3,1,0.47,,256
739,Molidae,Juvenile,1,1,2.18,,256
740,Unidentified Cephalopoda,,4,0,0.01,,256
741,Himantolophidae,Juvenile,3,2,1.25,BM,256
742,Ectreposebastes imus,Juvenile,3,1,0.26,BM,256
743,Sternoptyx diaphana,,2,3,11.07,,257
744,Phrosina semilunata,,2,16,5.56,Avg TL 20-25mm,257
745,Alciopidae,,2,1,0.2,,257
746,Desmodema polystictum,,3,1,10.76,,257
747,Bramidae,Juvenile,2,1,0.27,,258
748,Phronima sedentaria,,2,1,0.54,,258
749,Platyscelus armatus,,2,1,0.23,,258
750,Hyaloteuthis pelagica,,3,4,10.65,By RY,258
751,Phrosina semilunata,,2,11,5.65,,258
752,Megalopa stage,,2,1,0.12,,258
753,Hyaloteuthis pelagica,,2,2,6.72,,259
754,Canthigaster sp.,Juvenile,2,6,4.46,,259
755,Ostracod (unidentified),,1,2,0.18,,259
756,Megalopa stage,,3,5,1.36,,259
757,Phrosina semilunata,,3,2,2.74,,259
758,Stomatopoda,,2,1,0.26,,259
759,Naso sp.,Juvenile,2,1,0.79,,259
760,Diplospinus multistriatus,,3,1,6.16,,259
761,Pteropoda (unidentified),,3,1,0.04,,259
762,Chaetodon sp.,Juvenile,3,1,0.6,,259
763,Sternoptyx diaphana,,2,16,29.29,,260
764,Platyscelus armatus,,3,2,0.96,,260
765,Phrosina semilunata,,3,6,2.11,,260
766,Japetella diaphana Beak,,4,1,0.01,By RY: Not fresh. 1 UB (CL - 6 mm),260
767,Alepisaurus ferox,Juvenile,2,1,0.92,,260
768,Alciopidae,,3,8,1.88,,260
769,Salpidae,,4,0,0.78,,260
770,Ancistrocheirus lesueurii Beak,,4,1,0.36,By RY: Not fresh. 1 UB (URL - mm),261
771,Rubbish - Line/Rope,,0,1,0.518,37-Af-037-a,262
773,Unidentified Fish,,4,1,0.07,,262
774,Cystisoma sp.,,3,1,4.65,,263
775,Trichiuridae/Gempylidae,,4,1,0.66,jaw only,263
776,Planctoteuthis lippula,,2,1,3.82,By RY,263
777,Argyropelecus aculeatus,,1,1,15.28,,263
778,Rubbish (human product),,0,2,0.01,,263
779,Rubbish - Plastic (white/clear),,0,2,1.98,62-62-Af-012-a-b,264
780,Unidentified Fish,,4,0,1.71,,264
781,"Type ""A"" Cephalopod Beak",,4,1,0.17,By RJ - Type A ID,264
782,Octopoda,,3,1,4.07,By RY,264
783,Platyscelus ovoides,,2,2,0.69,,264
784,Alciopidae,,3,1,0.24,,264
785,Phrosina semilunata,,3,5,2.65,,264
786,Scyllaridae,Juvenile,2,1,0.22,,264
787,Argyropelecus aculeatus,,2,1,5.86,,264
788,Sternoptyx diaphana,,3,1,13.24,,264
789,Diplophos taenia,,2,1,2.96,,264
790,Salpidae,,3,2,0.9,,264
791,Omosudis lowii,,2,1,21.33,,265
792,Thecosomata,,3,1,0.19,,265
793,Phronima sedentaria,,2,1,2.05,,265
794,Argyropelecus aculeatus,,1,1,10.86,,265
795,Scyllaridae,,3,1,1.48,,265
796,Berrya hoylei,,2,1,14.27,By RY; Unsure,265
797,Rubbish (human product),,0,1,0.07,,265
798,Unidentified Cephalopoda,,4,1,0.46,"TBI RY- ""remains"" on data sheet",265
799,Unidentified Fish,,4,1,2.37,,265
800,Rubbish - Line/Rope,,0,1,0.97,36-Af-018-a,266
801,Salpidae,,3,1,0.4,Together with Phronima sp.,266
802,Phronima sedentaria,,3,1,0.59,Together with Salp,266
803,Alciopidae,,3,1,0.13,,266
804,Sternoptyx diaphana,,2,4,9.7,,266
805,Phrosina semilunata,,2,5,2.21,,266
806,Galiteuthis sp. Beak,,4,1,0.25,"By RY: 1 beak pair (UB- 9.5 mm URL), (LB- 8.5 mm LRL)",267
807,Sternoptyx diaphana,,2,5,3.72,,267
808,Platyscelus ovoides,,2,1,0.29,,267
809,Rubbish - Plastic (colored),,0,3,3.36,"plastic, rope, feather; Saved for LJ",267
810,Phrosina semilunata,,2,1,0.37,,267
811,Phronima sedentaria,,3,1,0.74,,267
812,Alciopidae,,3,38,16.5,,268
813,Phronima sp.,,3,1,0.22,,268
814,Salpidae,,3,1,0.28,,268
815,Unidentified Fish,,4,1,0.5,,268
816,Mastigoteuthis famelica Beak,,4,1,0.29,By RY: Not fresh. 1 UB (URL - 6.5 mm),269
817,Rubbish - Line/Rope,,0,1,0.6,43-Af-025-a,269
818,Alciopidae,,3,1,0.2,,269
819,Alciopidae,,4,1,0.09,,269
820,Neoteuthis thielei Beak,,4,1,0.3,"By RY: l LB (LRL- 6.5 mm), ID- unknown (possibly Neoteuthis): sharp wing fold to rostral tip",270
821,Stigmatoteuthis sp. Beak,,4,1,0.3,"By RY: 1 LB (6.5 mm LRL), ID- histioteuthid, perhaps Stigmatoteuthis)",270
822,Histioteuthidae Beak,,4,1,0.09,ID by RY,270
823,Octopoteuthis neilseni,,3,1,0.87,By RY,270
824,Salpidae,,3,1,0.62,Found with Amphipod,270
825,Phronima sedentaria,,3,1,0.66,Found with Salp,270
826,Algae,,0,0,0.98,Something plant-like,271
827,Rubbish - Plastic (white/clear),,0,8,2.88,14-21-Af-032-a-h,271
828,Gonatidae Beak,,4,1,0.18,"By RY: Not fresh, 1 LB (LRL- 5.3 mm)",271
829,Ocythoe tuberculata,,3,1,1.29,"By RY: 1 Ocythoe tuberculata, male, probably mature, 19 mm ML (beaks taken), *this is a temperate species.",271
830,Berrya hoylei,,2,1,2.01,"By RY: 1 benthic octopod (Berrya?), 18 mm ML",271
831,Enoplometopus sp.,Juvenile,3,1,0.78,ID by Caroline,271
832,Phrosina semilunata,,3,1,0.26,,271
834,Rubbish - Plastic (colored),,0,2,0.96,40-410Af-039-a-b,272
835,Omosudis lowii,,3,1,31.87,,272
836,Heteroteuthis hawaiiensis,,3,1,3.27,"By RY: 1 Heteroteuthis hawaiiensis, male, 21 mm ML (beaks taken)",272
837,Walvisteuthis youngorum,,2,1,20.67,"1 Walvisteuthis sp., immature male, 57 mm ML (the Hawaiian Walvisteuthis is thought to be a new species)",272
838,Sthenoteuthis oualaniensis,Larvae,3,4,0.21,"By RY: 1 Sthenoteuthis oualaniensis paralarva, 8 mm ML",273
839,Japetella diaphana,,2,1,3.96,By RY: ca 40 mm ML,273
840,Plagiotremus sp.,Juvenile,2,1,0.28,ID by BM,273
841,Octopoda,Juvenile,2,3,0.59,"1 octopodid paralarva (macrotritopus), 15 mm ML",273
842,Chaetodon sp.,Juvenile,1,2,0.18,,273
843,Rubbish (human product),,0,1,0.24,not saved,273
844,Unidentified Fish,,4,0,0.26,,274
845,Phrosina semilunata,,3,1,0.69,,274
846,Enoploteuthis sp.,Juvenile,3,2,0.76,"By RY: 2 juvenile squid (one a mantle only), both ca 16 mm ML, ID - juvenile enoploteuthid, probably Enoploteuthis sp.",274
847,Sternoptyx pseudobscura,,3,2,2.93,,274
848,Platyscelus armatus,,2,5,1.21,,275
849,Megalopa stage,,2,1,0.09,,275
850,Japetella diaphana,,3,1,1.12,"By RY: 1 Japetella diaphana, ca. 25 mm ML, buccal mass removed (radula confirms ID).",275
851,Alciopidae,,3,3,0.38,,275
852,Phrosina semilunata,,3,1,0.25,,275
853,Unidentified Fish,,4,0,0.93,,275
854,Heteropoda (Pterotracheoidea),,3,3,0.28,,275
855,Rubbish - Line/Rope,,0,1,0.52,Black twine;  32-Af-046-a,276
856,Platyscelus ovoides,,3,1,0.25,,276
857,Platyscelus armatus,,2,1,0.21,,277
858,Cyphocaris sp.,,2,2,0.3,,277
859,Pteraclis aesticola,,2,1,48.96,BM,277
860,Rubbish - Line/Rope,,0,1,1.92,white line; 22-Af-047-a,277
861,Alciopidae,,2,25,1.31,,277
862,Sternoptyx diaphana,,2,1,9.57,,278
863,Cycloteuthis sirventi,,3,1,1.31,"1 squid, ca 30 mm ML, ID- Cycloteuthis serventyi, beaks removed",278
864,Phrosina semilunata,,3,1,0.72,,278
865,Alciopidae,,3,1,0.24,,278
866,Sternoptyx diaphana,,2,9,4.59,,279
867,Phrosina semilunata,,2,11,2.39,,279
868,Abraliopsis sp.,Juvenile,2,1,0.13,By RY,279
869,Platyscelus armatus,,2,1,0.07,,279
870,Synagrops argyreus,Juvenile,3,1,2.63,,279
871,Sudis atrox,,3,2,0.4,,279
872,Hyaloteuthis pelagica,,2,1,6.02,"By RY: 1 Hyaloteuthis, 60 mm, ML;",280
873,Sternoptyx sp.,Juvenile,2,1,0.15,,280
874,Phrosina semilunata,,3,1,0.28,,280
875,Megalopa stage,Juvenile,2,2,0.17,,281
876,Phronima sp.,,3,4,1.7,,281
877,Alciopidae,,3,1,0.43,,282
878,Leptocephalus (eel larvae),,2,1,0.61,,282
879,Phrosina semilunata,,3,1,0.11,,282
880,Unidentified Fish,,4,0,0.02,,282
881,Phrosina semilunata,,1,1,0.12,,283
882,Alepisaurus ferox,,2,1,86.44,,284
883,Omosudis lowii,,2,2,13.64,,284
884,Sternoptyx pseudobscura,,2,2,3.04,,284
885,Carinaria sp.,,3,1,0.45,,284
886,Rubbish - Plastic (white/clear),,0,1,4.51,"black, 13-Af-015-a",284
887,Walvisteuthis youngorum Beak,,4,1,0.16,"By RY: Not fresh. 1 beak pair: UB- (URL - 3.4 mm), LB- (LRL- 2.9 mm)",284
888,Alciopidae,,2,2,0.24,,284
889,Ancistrocheirus lesueurii,,3,1,0.92,By RY,284
890,Phrosina semilunata,,2,9,3.67,Group 2,284
891,Salpidae,,3,24,19.55,Along with amphipods in Group 3,284
892,Phronima sedentaria,,2,31,17.42,Along with Salps and P. semilunata (in one salp!),284
893,Phrosina semilunata,,3,4,2.03,,285
894,Argonauta argo,,2,1,5.08,By RY,285
895,Platyscelus armatus,,2,1,0.42,,285
896,Pyrosomatidae,,3,1,1.93,,285
897,Salpidae,,3,3,1.57,1 salp (0.67g) had 1 P. semilunata and 1 Phronima sp. In it,285
898,Cephalopod gladius,,4,1,0.04,By RY: piece of squid gladius,285
899,Enoplometopus sp.,,3,1,0.18,,285
900,Cyphocaris sp.,,2,1,0.38,,285
901,Phronima sp.,,3,2,0.66,,285
902,Phronima sedentaria,,2,2,1.69,,285
903,Alepisaurus ferox,,2,1,19.14,,286
904,Stomatopoda,,2,1,0.65,,286
905,Salpidae,,3,2,1.03,Together with Phronima sp.,286
906,Phronima sp.,,3,2,0.59,Together with salp,286
907,Platyscelus ovoides,,2,1,0.21,,287
908,Systellaspis sp.,,2,1,0.52,,287
909,Sternoptyx diaphana,,2,3,9.37,,287
910,Alepisaurus ferox,Juvenile,2,2,2.74,,287
911,Sthenoteuthis oualaniensis,Larvae,2,1,0.12,By RY: paralarva 8 mm ML ID- Sthenoteuthis ?.,287
912,Phronima sedentaria,,2,2,1.03,,287
913,Alciopidae,,3,1,0.12,,287
914,Salpidae,,3,2,0.77,,287
915,Phrosina semilunata,,2,8,3.27,,287
916,Phrosina semilunata,,2,17,4.83,,288
917,Sternoptyx diaphana,,2,7,6.58,20-30 mm SL,288
918,Pseudanthias sp.,,1,1,0.26,BM,288
919,Diplospinus multistriatus,,3,4,2.87,,288
920,Alepisaurus ferox,Juvenile,3,1,0.13,,288
921,Pteropoda (unidentified),,2,1,0.06,,288
922,Pteraclis aesticola,Juvenile,1,1,0.71,,288
923,Onychoteuthis sp.,,2,2,0.49,By RY: 22 and 25 mm ML,288
924,Cranchiidae,Larvae,3,1,0.19,"By RY: 1 cranchiid paralarva, 15mm ML",288
925,Unidentified Fish,Larvae,3,6,0.1,BM,288
926,Vinciguerria nimbaria,Larvae,3,7,0.2,,288
927,Myctophidae,Larvae,3,5,0.1,,288
928,Unidentified Cephalopoda,Larvae,3,1,0.02,"By RY: 1 paralarval squid, 5mm ML, ID-?",288
929,Unidentified Fish,Juvenile,3,1,0.23,Cannot locate to further ID,255
930,Alepisaurus ferox,Juvenile/Adult,2,1,29.9,FL 22.7 cm,289
931,Hyaloteuthis pelagica,,2,1,1.24,ML 29.9 mm,289
932,Lepidoteuthis grimaldii,,3,1,0.34,"By RY: Lepidoteuthis ca 20 mm ML (with pointed tubercules!), beaks taken",289
933,Platyscelus armatus,,2,4,1.57,AP TL 20mm,289
934,Alepisaurus ferox,Juvenile,2,1,1.46,FL 40 mm; huge gut,289
935,Sternoptyx diaphana,,2,1,1.88,SL 27mm,289
936,Scombrolabrax heterolepis,,2,2,0.88,FL 32mm; BM,289
937,Pseudanthias sp.,Juvenile,3,2,0.64,,289
938,Carinaria sp.,,4,1,0.14,By RY,289
939,Phrosina semilunata,,2,12,3.73,,289
940,Hyperiidea,,3,6,1.25,"Unidentified, damaged",289
941,Hyaloteuthis pelagica,,2,1,2.29,By RY: ML 33.5mm;,290
942,Argonauta argo,,2,1,4.08,By RY: 20 mm ML,290
943,Japetella diaphana,,3,1,2.14,By RY: CA 30mm ML,290
944,Acanthephyra sp.,,3,1,0.93,CL 19.5mm,290
945,Phrosina semilunata,,3,1,0.51,,290
946,Phronima sp.,,3,1,0.33,,290
947,Platyscelus armatus,,3,2,0.48,,290
948,Thecosomata,,2,2,0.09,,290
949,Chlorophthalmus proridens,Juvenile,3,1,1.12,SL 41.2 mm,290
950,Alepisaurus sp.,Juvenile,3,1,0.98,AP 40mm,291
951,Phrosina semilunata,,3,3,0.83,AP TL 15mm,291
952,Nealotus tripes,,3,1,4.43,Bm,292
953,Thecosomata,,2,1,0.14,,292
954,Sudis atrox,,3,1,0.35,TL 44.2; BM,292
955,Heteropoda (Pterotracheoidea),,4,0,0.34,,292
956,Sternoptyx pseudobscura,,2,1,4.64,,292
957,Sternoptyx sp.,,2,5,1.13,13-16 mm SL,292
958,Pteraclis aesticola,,3,1,0.76,,292
959,Psenes maculatus,Juvenile,3,1,0.29,,292
960,Atlantidae,,4,1,0.21,Just shell,292
961,Alciopidae,,3,1,0.06,,292
962,Carinaria sp.,,3,3,0.41,purple,292
963,Platyscelus ovoides,,2,1,0.09,TL 12mm,292
964,Phrosina semilunata,,3,19,4.84,Avg size 10-20mm,292
965,Heteroteuthis hawaiiensis,,2,1,3.24,By RY,263
966,Onychoteuthis sp.,,3,3,8.54,,259
967,Grimalditeuthis bonplandii,,2,1,9.85,,264
968,Japetella diaphana,,2,1,2.97,,264
969,Octopoteuthis sp. Beak,,4,1,0.12,By RY: 1 UB (11 mm URL),267
970,"Type ""A"" Cephalopod Beak",,4,1,0.2,"By RY: 1 UB (8 mm URL), ID- Type A beak",267
971,Heteropoda (Pterotracheoidea),,3,1,0.12,,251
972,Alciopidae,,3,1,0.07,,251
973,Galiteuthis sp. Beak,,4,1,0.3,"old (eroded) beaks, 1 UB (URL- 6 mm), ID- probably Galiteuthis sp.",251
974,Hyaloteuthis pelagica,,3,1,0.15,"1 buccal crown, probably Hyaloteuthis of about the same size",280
975,Cranchiidae,Larvae,3,1,0.08,By RY: 10mm ML paralarva,287
976,Atlantidae,,3,6,0.29,2 large atlantid heteropods. Parts of 4 heteropods (including 2 large atlantid shells),253
977,Argonauta argo Beak,,2,1,7.82,By RY: female 30mm ML,256
978,Heteropoda (Pterotracheoidea),,3,1,0.04,By RY,290
981,Phrosina semilunata,,2,4,0.4,7-15mm TL,319
982,Shrimp,,2,1,0.1,unidentified,319
983,Alepisaurus ferox,,1,1,0.3,54mm,319
984,Alepisaurus sp.,,2,1,0.4,47mm,319
985,Linophryne sp.,,1,1,0.3,36mm,319
986,Sternoptyx obscura,,1,5,5.9,24-46mm,319
987,Sternoptyx pseudobscura,,1,4,6.3,27-36mm,319
988,Pteropoda (unidentified),,1,2,0.2,10mm,331
989,Phrosina semilunata,,3,1,0.1,23mm,331
990,Tremoctopus gracilis,,1,1,0.3,by RY,331
991,Gymnosomata,,1,1,0.1,26mm,308
992,Phronima sedentaria,,1,1,0.4,35mm,308
993,Phrosina semilunata,,1,9,2.7,,308
994,Platyscelus armatus,,1,1,0.2,17mm,308
995,Hyaloteuthis pelagica,,1,1,3.8,55mm,308
996,Alciopidae,,2,7,1.4,,327
997,Pteropoda (unidentified),,2,2,0.2,6mm,327
998,Phrosina semilunata,,1,1,0.1,14mm,327
999,Hyaloteuthis pelagica,,1,1,5.6,57mm,327
1000,Sternoptyx pseudobscura,,1,1,2.2,33mm,327
1001,Alciopidae,,2,1,0.1,,309
1002,Shrimp,,2,2,0.5,,309
1003,Pteropoda (unidentified),,2,2,0.3,8-15mm,320
1004,Phronima sedentaria,,1,1,0.2,29mm,320
1005,Phrosina semilunata,,2,5,0.8,,320
1006,Hyaloteuthis pelagica,,1,2,7.6,,320
1007,Notodarus hawaiiensis,,1,1,1.2,"by RY, 23mm ML",320
1008,Octopus ornatus,Larvae/Juvenile,1,1,0.3,by RY,320
1009,Brama orcini,,1,1,0.3,34mm,320
1010,Centropyge sp.,,1,1,0.1,19mm,320
1011,Paralepididae,,2,1,1,102mm,320
1012,Sternoptyx pseudobscura,,2,1,2.1,41mm,320
